id,category,description,last_modified,mark,mark_amount,name,user_id
22,d/w,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",30/1/2018,1.7,7,Sugar - Crumb,21
23,P/V,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.",30/7/2018,1.6,86,Cactus Pads,25
24,Z/i,Donec posuere metus vitae ipsum. Aliquam non mauris. Morbi non lectus.,15/4/2018,1.9,92,Cleaner - Comet,32
25,r/cK/xe/J,Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,27/8/2018,3.2,28,Wine - Black Tower Qr,36
26,C/RC/r,In hac habitasse platea dictumst.,30/12/2017,1.3,100,Lime Cordial - Roses,14
27,e/hX/At/v,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",7/2/2018,1.2,1,Uniform Linen Charge,20
28,N/iX/lL/Ki/y,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",14/5/2018,1.1,29,Table Cloth 144x90 White,60
29,v/DV/un/wG/w,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",20/4/2018,2.3,50,"Pork - Bacon, Sliced",27
30,p/fU/Fy/g,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",25/12/2017,1.2,85,Soup - Chicken And Wild Rice,65
31,F/Zm/T,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",9/4/2018,2.0,26,Vinegar - Sherry,95
32,U/EC/uk/uh/J,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",3/3/2018,2.0,49,Nescafe - Frothy French Vanilla,75
33,T/JG/hy/O,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",17/5/2018,1.6,86,Praline Paste,98
34,g/N,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,12/8/2018,4.3,34,Canadian Emmenthal,97
35,c/sv/hR/bn/F,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.",30/7/2018,2.4,13,"Wine - Red, Lurton Merlot De",67
36,k/ir/nT/O,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",14/10/2017,4.7,97,Mushroom - Portebello,83
37,o/I,Integer a nibh. In quis justo.,13/11/2017,3.6,72,Scampi Tail,18
38,V/Un/WM/dy/L,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",31/5/2018,1.1,92,Dry Ice,87
39,B/S,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",6/4/2018,1.2,59,Pie Box - Cello Window 2.5,2
40,e/Uq/e,Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.,28/4/2018,2.6,77,Table Cloth 54x72 White,80
41,N/I,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,24/10/2017,1.3,14,Wine - Tio Pepe Sherry Fino,66
42,p/qv/fn/KJ/M,Phasellus sit amet erat.,23/1/2018,4.0,78,Coffee - Egg Nog Capuccino,5
43,z/s,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,18/4/2018,4.1,75,Towel - Roll White,59
44,x/Cv/aM/D,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,13/3/2018,2.0,12,Crackers Cheez It,53
45,r/S,Aenean auctor gravida sem.,18/5/2018,2.8,22,"Nut - Walnut, Chopped",9
46,Y/Nq/HS/ss/d,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",3/11/2017,1.7,57,Seaweed Green Sheets,31
47,k/Mm/cK/n,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",21/11/2017,1.4,86,Dried Figs,84
48,b/c,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",8/11/2017,2.5,71,Pur Source,1
49,U/FH/EI/Jq/C,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,21/9/2018,4.3,90,Creme De Menth - White,75
50,R/m,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.",15/11/2017,4.6,21,Momiji Oroshi Chili Sauce,33
51,N/Vv/oJ/OZ/f,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",30/6/2018,4.5,50,Bar Mix - Lemon,51
52,m/LX/T,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,18/8/2018,3.3,66,Bread - Rye,30
53,F/wd/c,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",14/12/2017,4.5,29,"Salmon - Smoked, Sliced",14
54,W/Hi/XL/Ri/F,Donec ut dolor.,29/1/2018,4.6,25,Icecream - Dstk Cml And Fdg,19
55,j/c,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,31/3/2018,2.5,39,Pastry - Carrot Muffin - Mini,30
56,B/Gf/x,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",5/5/2018,1.0,4,Mackerel Whole Fresh,11
57,D/eq/W,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",1/12/2017,1.6,8,"Wine - White, Concha Y Toro",84
58,K/JM/im/S,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",22/3/2018,3.7,78,Gatorade - Orange,8
59,W/Gv/Xt/HN/I,"Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",20/1/2018,1.1,86,Chocolate Bar - Oh Henry,94
60,o/tI/NG/m,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",30/4/2018,3.0,21,Potatoes - Yukon Gold 5 Oz,21
61,s/e,"Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",5/8/2018,4.7,74,Wine - Periguita Fonseca,57
62,P/BN/g,Pellentesque at nulla.,1/5/2018,1.5,57,"Wine - Magnotta, Merlot Sr Vqa",6
63,j/Ob/iK/Q,Phasellus id sapien in sapien iaculis congue.,10/2/2018,2.1,58,Mushroom - Crimini,59
64,G/cp/VX/st/c,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,20/5/2018,3.7,74,Coffee - Decafenated,15
65,P/Gz/B,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",27/7/2018,3.3,4,Oranges,2
66,R/Ux/G,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",5/5/2018,1.2,2,Chicken Thigh - Bone Out,66
67,j/vW/qP/ie/f,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",13/7/2018,3.7,47,Beef - Ground Medium,40
68,j/m,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",22/8/2018,4.8,70,Pork Loin Cutlets,70
69,t/kH/AQ/J,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,23/12/2017,4.3,24,Juice - Orange,24
70,M/pR/DY/KR/t,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",29/7/2018,2.2,81,Wine - Chardonnay South,77
71,Z/Bk/J,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,8/11/2017,3.4,88,Pectin,55
72,T/e,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",4/1/2018,4.7,5,Chinese Foods - Thick Noodles,23
73,d/UU/Uv/P,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",8/5/2018,2.8,42,Danishes - Mini Raspberry,74
74,c/y,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,20/11/2017,1.3,30,Pecan Raisin - Tarts,7
75,t/Zl/ml/Dl/Z,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",14/1/2018,3.4,63,Hinge W Undercut,83
76,V/be/B,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",8/8/2018,3.4,27,Sauce - Hoisin,90
77,p/QL/Vr/Oq/R,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,31/10/2017,2.7,56,"Pork - Ham, Virginia",54
78,O/NZ/IL/V,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",24/6/2018,3.7,97,Napkin - Beverage 1 Ply,95
79,V/PW/R,In hac habitasse platea dictumst.,13/11/2017,2.2,40,"Rum - Spiced, Captain Morgan",22
80,S/N,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,26/2/2018,1.8,91,Calvados - Boulard,84
81,q/k,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",30/12/2017,3.6,35,Bread Sour Rolls,32
82,p/B,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",19/8/2018,1.7,64,Vaccum Bag 10x13,74
83,J/TI/Kp/t,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",14/6/2018,1.5,60,"Pork - Bacon,back Peameal",20
84,h/GG/Rr/Rl/R,Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,20/10/2017,4.6,57,Campari,89
85,B/NX/V,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,12/5/2018,4.0,78,Alize Sunset,96
86,e/vI/Je/E,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",22/3/2018,2.2,55,Lamb - Rack,68
87,r/c,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",5/1/2018,5.0,86,Kellogs All Bran Bars,17
88,k/zQ/CD/f,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",15/4/2018,1.5,50,Jam - Raspberry,59
89,K/YS/t,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",19/9/2018,3.7,21,Brandy - Bar,42
90,o/sL/F,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",27/2/2018,1.7,100,"Rum - Spiced, Captain Morgan",44
91,Y/xe/vS/r,In sagittis dui vel nisl.,29/4/2018,2.3,68,Pork - Smoked Back Bacon,73
92,q/xc/vC/Lq/C,Nulla tellus. In sagittis dui vel nisl.,1/10/2018,1.7,82,Iced Tea Concentrate,82
93,l/RJ/nB/p,Donec dapibus.,16/11/2017,4.6,63,Cheese - Swiss Sliced,69
94,L/g,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,28/4/2018,1.7,47,Cheese - Perron Cheddar,76
95,T/er/Q,"Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",13/5/2018,3.1,98,Wine - Cave Springs Dry Riesling,4
96,m/bj/xR/Ba/M,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.,1/5/2018,2.2,70,Bread Foccacia Whole,96
97,Y/zb/u,Nam tristique tortor eu pede.,27/3/2018,4.4,95,Salt And Pepper Mix - Black,59
98,H/LP/CS/F,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",2/8/2018,4.5,75,Bread - Frozen Basket Variety,74
99,m/f,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",2/11/2017,1.1,45,"Cherries - Maraschino,jar",13
100,i/TT/BG/g,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,17/4/2018,2.8,6,"Capon - Breast, Wing On",82
101,f/Q,Nullam varius. Nulla facilisi.,4/4/2018,1.0,41,"Stock - Beef, Brown",7
102,B/Sh/y,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",24/12/2017,4.2,91,Butter Ripple - Phillips,97
103,u/L,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui.",8/6/2018,1.5,60,Cookies - Assorted,54
104,B/E,Duis bibendum.,10/2/2018,2.3,5,Soup - Campbells Asian Noodle,40
105,V/vD/U,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",31/8/2018,4.2,2,Wine - Chianti Classico Riserva,37
106,o/en/YJ/iF/N,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,22/7/2018,1.1,41,Couscous,49
107,H/tW/D,Suspendisse accumsan tortor quis turpis.,21/10/2017,1.5,52,Butter Balls Salted,45
108,r/tg/m,Morbi quis tortor id nulla ultrices aliquet.,3/8/2018,2.6,48,Carbonated Water - Wildberry,20
109,D/U,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",1/2/2018,1.2,23,"Vinegar - Balsamic, White",100
110,f/w,Aliquam erat volutpat. In congue. Etiam justo.,10/4/2018,2.4,100,Chicken - Leg / Back Attach,1
111,v/bi/l,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus.,29/3/2018,3.1,80,Pork - Smoked Back Bacon,22
112,O/xk/fs/R,Nam nulla.,27/9/2018,3.5,99,Wine - Pinot Noir Latour,27
113,T/WD/F,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,28/8/2018,3.4,16,"Lobster - Baby, Boiled",49
114,R/iF/Vl/wf/Z,Morbi non lectus.,5/4/2018,2.0,85,"Soup - French Onion, Dry",8
115,M/wT/H,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",31/12/2017,3.2,60,"Beef - Roasted, Cooked",87
116,T/WO/iX/O,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.",4/3/2018,1.3,38,"Tart Shells - Sweet, 2",87
117,q/g,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.",13/9/2018,2.5,75,Plums - Red,27
118,R/aM/Q,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",6/4/2018,4.7,81,Truffle Cups Green,33
119,G/Yx/T,"Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",31/12/2017,3.6,25,Truffle Paste,93
120,b/u,Morbi porttitor lorem id ligula.,26/2/2018,2.6,56,Egg - Salad Premix,81
121,S/A,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",6/1/2018,3.3,33,Carbonated Water - Wildberry,93
122,g/od/z,In sagittis dui vel nisl.,22/12/2017,3.6,99,Nantucket Apple Juice,46
123,d/g,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.,24/11/2017,4.2,77,Bag - Regular Kraft 20 Lb,31
124,q/I,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,9/6/2018,4.1,72,"Wine - Red, Cabernet Sauvignon",34
125,f/Cp/ei/o,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,22/2/2018,2.7,46,Cabbage - Nappa,9
126,D/io/tP/xo/R,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,23/10/2017,2.6,94,Pasta - Canelloni,88
127,N/Vn/R,Duis ac nibh.,28/5/2018,2.0,25,Orange - Blood,9
128,Z/x,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,12/7/2018,1.9,6,Carbonated Water - Blackcherry,57
129,M/W,Mauris lacinia sapien quis libero.,6/2/2018,1.0,46,"Quail - Whole, Boneless",22
130,g/gz/iB/b,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",11/4/2018,1.8,60,"Pepper - White, Ground",98
131,R/R,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.,24/4/2018,4.7,80,Kolrabi,62
132,e/DK/vm/A,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",28/10/2017,2.0,41,Cilantro / Coriander - Fresh,15
133,b/qE/Vn/GY/G,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,29/10/2017,3.4,56,Vinegar - White,46
134,K/ez/v,Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.,13/1/2018,3.7,35,"Bag - Bread, White, Plain",93
135,H/og/r,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,28/1/2018,1.8,23,Sauce - Balsamic Viniagrette,14
136,j/BE/i,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",9/2/2018,1.2,53,Sprouts - Onion,75
137,U/Zf/s,Nulla nisl.,9/12/2017,2.6,91,Jameson Irish Whiskey,11
138,Z/Vh/aq/Q,"Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",23/7/2018,4.1,23,Orange - Tangerine,76
139,P/vM/Lv/r,Integer ac leo. Pellentesque ultrices mattis odio.,30/8/2018,2.4,83,"Chilli Paste, Ginger Garlic",5
140,T/vC/Rp/e,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,26/11/2017,4.0,87,"Pasta - Penne, Rigate, Dry",24
